DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;
Período:2014;;;;;;;;;;;;;
Município infecção;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
350000 Município ignorado - SP;2;-;-;1;-;-;-;-;-;-;-;-;3
410020 Adrianópolis;-;-;-;-;-;1;-;-;-;-;-;-;1
410210 Astorga;-;-;1;-;-;-;-;-;-;-;-;-;1
410420 Campo Largo;-;-;-;-;-;-;-;-;-;-;1;-;1
410480 Cascavel;-;-;-;1;-;-;-;-;-;-;-;-;1
410560 Cidade Gaúcha;-;-;1;-;-;-;-;-;-;-;-;-;1
410640 Cornélio Procópio;-;-;-;-;-;-;-;-;-;-;1;-;1
410690 Curitiba;-;-;1;1;-;-;-;1;-;-;-;-;3
411370 Londrina;1;-;2;5;1;-;-;-;-;-;1;1;11
411430 Mandirituba;1;-;-;-;-;-;-;-;-;-;-;-;1
411500 Marilena;3;2;-;-;-;-;-;-;-;-;-;-;5
411520 Maringá;1;2;7;6;4;-;-;-;-;-;-;-;20
411710 Nova Londrina;3;1;-;-;-;1;-;-;-;-;-;-;5
411720 Nova Olímpia;-;-;-;-;1;-;-;-;-;-;-;-;1
411750 Paiçandu;-;-;1;-;-;-;-;-;-;-;-;-;1
411820 Paranaguá;-;-;-;-;1;-;-;-;-;-;-;-;1
411995 Pontal do Paraná;1;-;-;-;-;-;-;-;-;-;-;-;1
412110 Quinta do Sol;1;-;-;-;-;-;-;-;-;-;-;-;1
412210 Rio Bom;-;-;-;-;1;-;-;-;-;-;-;-;1
412340 Santa Fé;1;-;-;-;-;-;-;-;-;-;-;-;1
412410 Santo Antônio da Platina;-;-;-;-;-;-;-;-;-;-;-;1;1
412500 São João do Ivaí;-;-;1;-;-;-;-;-;-;-;-;-;1
412625 Sarandi;-;-;-;2;-;-;-;-;-;-;-;-;2
412640 Sertaneja;-;-;-;-;-;-;-;-;-;1;-;-;1
412800 Ubiratã;-;-;-;-;-;-;-;-;1;-;-;-;1
412840 Uraí;1;-;-;-;-;-;-;-;-;-;-;-;1
420040 Água Doce;-;-;-;-;-;3;-;-;-;-;-;-;3
420210 Barra Velha;1;-;-;-;-;-;-;-;-;-;-;-;1
420240 Blumenau;-;-;-;-;1;-;-;-;-;-;-;-;1
420320 Camboriú;-;-;-;2;-;-;-;-;-;-;-;-;2
420460 Criciúma;-;-;-;-;-;1;-;-;-;1;-;-;2
431470 Planalto;-;-;-;-;-;1;-;-;-;-;-;-;1
431490 Porto Alegre;-;-;-;1;-;1;-;-;-;-;-;-;2
431560 Rio Grande;-;1;-;-;-;-;-;-;-;-;-;-;1
500080 Anaurilândia;-;-;-;-;1;-;-;-;-;-;-;-;1
500085 Angélica;-;-;-;1;-;-;-;-;-;-;-;-;1
500100 Aparecida do Taboado;-;-;1;-;-;1;-;1;-;1;1;-;5
500220 Bonito;-;-;1;1;-;-;-;-;-;-;-;-;2
500230 Brasilândia;-;-;-;-;-;-;-;-;-;1;-;-;1
500270 Campo Grande;-;-;-;1;1;-;-;-;-;-;-;-;2
500295 Chapadão do Sul;-;-;-;-;2;-;-;-;-;-;-;-;2
500325 Costa Rica;-;-;-;-;-;-;-;-;-;-;-;1;1
500345 Deodápolis;-;-;-;-;-;-;-;1;-;-;-;-;1
500370 Dourados;-;-;-;-;-;-;-;1;-;-;-;-;1
500450 Itaporã;-;-;-;-;-;-;-;-;-;-;-;1;1
500560 Miranda;-;-;-;1;-;-;-;-;-;-;-;-;1
500690 Porto Murtinho;-;-;1;-;-;-;-;-;-;-;-;-;1
500830 Três Lagoas;-;-;-;3;2;-;1;-;-;-;-;2;8
510185 Bom Jesus do Araguaia;1;-;-;-;-;-;-;-;-;-;-;-;1
510263 Campo Novo do Parecis;1;-;-;-;-;-;-;-;-;-;-;-;1
510340 Cuiabá;2;1;-;-;2;-;-;-;-;-;-;-;5
510650 Poconé;-;-;-;1;-;-;-;-;-;-;-;-;1
510704 Primavera do Leste;-;1;-;-;-;-;-;-;-;-;-;-;1
510790 Sinop;2;1;-;1;-;-;-;-;-;-;-;-;4
520060 Alto Paraíso de Goiás;-;1;-;-;-;-;-;-;-;-;-;-;1
520110 Anápolis;-;-;-;-;1;-;-;-;-;-;-;1;2
520450 Caldas Novas;1;-;-;1;-;-;-;-;-;-;-;-;2
520510 Catalão;-;1;1;-;-;-;-;-;-;-;-;1;3
520547 Chapadão do Céu;-;-;-;-;-;-;-;1;-;-;-;-;1
520725 Doverlândia;-;-;-;-;-;-;1;-;-;-;-;-;1
520860 Goianésia;-;1;-;-;-;-;-;-;-;-;-;-;1
520870 Goiânia;1;-;1;2;3;-;2;-;-;-;-;1;10
520890 Goiás;4;-;-;-;1;-;-;-;-;-;-;-;5
521020 Iporá;1;-;-;-;-;-;-;-;-;-;-;-;1
521150 Itumbiara;-;-;-;-;-;-;1;-;-;1;-;-;2
521190 Jataí;-;-;-;1;1;-;-;-;1;-;-;-;3
521250 Luziânia;1;2;-;-;-;-;-;-;-;-;-;-;3
521370 Montes Claros de Goiás;-;-;-;1;-;-;-;-;-;-;-;-;1
521570 Palmeiras de Goiás;-;-;-;-;1;-;-;-;-;-;-;-;1
521710 Piracanjuba;-;-;-;-;1;-;-;-;-;-;-;-;1
521730 Pirenópolis;-;-;-;-;1;-;-;-;-;-;-;-;1
521930 Santa Helena de Goiás;-;-;-;1;-;-;-;-;-;-;-;-;1
522050 Serranópolis;-;-;-;-;-;-;-;1;-;-;-;-;1
522160 Uruaçu;1;-;-;-;-;-;-;-;-;-;-;-;1
530010 Brasília;2;-;2;4;3;-;-;-;-;-;-;-;11
000000 Ignorado ou exterior;438;987;3341;10917;6190;1768;885;531;509;517;688;977;27748
000000 Total;3337;11698;36885;89577;55728;13581;4063;1583;1510;1826;2818;4865;227471
